rec_id,category,title,text,tags,expert_weight,safety_level,advice_strength
R001,diet,Warm Hydrating Meals,"Prefer warm, hydrating meals and avoid excessively dry foods.",vata_balance|dryness|hydration,0.9,safe,strong
R002,home_care,Gentle Oil-Based Moisturizing,Use gentle oil-based moisturizing care for dry areas.,vata_balance|dryness|oil_care,0.95,safe,strong
R003,lifestyle,Regular Sleep and Stress Reduction,Maintain a regular sleep routine and include gentle stress reduction practices.,vata_balance|stress_support|routine,0.86,safe,moderate
R004,diet,Cooling Bitters in Moderation,Use mild cooling foods in moderation when heat symptoms are present.,pitta_balance|redness_support|cooling,0.78,caution,moderate
R005,home_care,Strong Detox Steam Routine,Perform an intensive detox steam routine for skin purification.,strong_detox|intensive_heat_therapy,0.7,risky,strong
R006,diet,Fresh Bitter Greens for Acne,"Include bitter greens and reduce oily, spicy foods to support acne-prone skin.",pitta_balance|acne_support|cooling,0.89,safe,strong
R007,diet,Light Kapha-Reducing Meals,"Take light meals with warm spices and avoid heavy, overly sweet foods.",kapha_balance|metabolic_support|fungal_support,0.88,safe,strong
R008,diet,Moisture-Supportive Fats,Use moderate healthy fats and warm soups to reduce skin dryness.,vata_balance|dryness|hydration,0.84,safe,moderate
R009,diet,Anti-Inflammatory Plate Pattern,Prefer anti-inflammatory meals rich in vegetables and low-glycemic foods.,pitta_balance|psoriasis_support|inflammation,0.87,safe,strong
R010,lifestyle,Daily Gentle Movement,Practice low-intensity daily movement to improve circulation and reduce stress triggers.,vata_balance|kapha_balance|routine,0.82,safe,moderate
R011,lifestyle,Cooling Breath Practice,Use short cooling breath practice sessions to manage heat and redness patterns.,pitta_balance|redness_support|stress_support,0.85,safe,moderate
R012,lifestyle,Sweat and Hygiene Routine,Maintain prompt post-sweat cleansing and breathable clothing habits.,kapha_balance|fungal_support|hygiene,0.9,safe,strong
R013,lifestyle,Trigger Tracking Journal,"Track sleep, stress, and food triggers to identify flare patterns.",eczema_support|psoriasis_support|routine,0.79,safe,weak
R014,home_care,Non-Comedogenic Cleansing,Cleanse twice daily with gentle non-comedogenic products.,pitta_balance|acne_support|hygiene,0.9,safe,strong
R015,home_care,Dry Area Barrier Protection,Apply fragrance-free barrier moisturizers after bathing to lock in moisture.,vata_balance|dryness|eczema_support,0.91,safe,strong
R016,home_care,Scalp and Plaque Softening Care,Use emollient soaks and gentle scale softening care for thick plaques.,kapha_balance|psoriasis_support|dry_scaling,0.88,caution,strong
R017,home_care,Antifungal Dry-Keeping Protocol,Keep folds dry and use clinician-advised antifungal topical support.,kapha_balance|fungal_support|hygiene,0.93,safe,strong
R018,lifestyle,Structured Meal and Sleep Timing,Follow consistent daily meal and sleep timings to stabilize dosha fluctuations.,vata_balance|pitta_balance|kapha_balance|routine,0.83,safe,moderate
R019,diet,Soaked Almond Morning Support,Take soaked almonds with warm water in the morning to support dry skin nourishment.,vata_balance|dryness|hydration,0.84,safe,moderate
R020,diet,Coriander and Cucumber Cooling Plate,Add coriander and cucumber to meals to reduce heat and redness-associated flares.,pitta_balance|redness_support|cooling,0.86,safe,strong
R021,diet,Barley and Lentil Light Meal Plan,Choose light barley-lentil meals to reduce dampness and support fungal control.,kapha_balance|fungal_support|metabolic_support,0.87,safe,strong
R022,diet,Ghee-Enhanced Warm Porridge,Use small amounts of ghee with warm porridge for chronic dryness support.,vata_balance|dryness|eczema_support,0.82,safe,moderate
R023,diet,Low-Dairy Acne Diet Pattern,Reduce high-fat dairy and refined sugars to lower acne trigger burden.,pitta_balance|acne_support|inflammation,0.91,safe,strong
R024,diet,Turmeric and Neem Balanced Intake,Use mild turmeric-neem dietary support under tolerance limits for inflammatory skin.,pitta_balance|psoriasis_support|inflammation,0.8,caution,moderate
R025,diet,Warm Herbal Water Through Day,Sip warm herbal water throughout the day to improve hydration and digestion.,vata_balance|kapha_balance|hydration,0.8,safe,moderate
R026,diet,Bitter and Astringent Acne Bowl,Include bitter and astringent vegetables in lunch to calm oily skin patterns.,pitta_balance|acne_support|oil_control,0.89,safe,strong
R027,diet,Steamed Vegetables with Dry Spices,Use steamed vegetables with dry spices to reduce kapha dampness and heaviness.,kapha_balance|fungal_support|light_food,0.85,safe,strong
R028,lifestyle,Early Evening Wind-Down Routine,Start calming routines before bedtime to reduce vata-related itching flares.,vata_balance|eczema_support|routine,0.84,safe,moderate
R029,lifestyle,Heat Exposure Reduction Plan,Avoid prolonged sun and high-heat environments during pitta aggravation phases.,pitta_balance|redness_support|cooling,0.88,safe,strong
R030,lifestyle,Moisture Control Clothing Habits,Use breathable fabrics and change damp clothing quickly to reduce fungal recurrence.,kapha_balance|fungal_support|hygiene,0.9,safe,strong
R031,lifestyle,Mindfulness for Scratch Urges,Practice short mindfulness pauses to reduce unconscious scratching behavior.,vata_balance|eczema_support|itching_control,0.78,safe,weak
R032,lifestyle,Acne Trigger Sleep Hygiene,Keep consistent sleep and clean pillow habits to reduce acne triggers.,pitta_balance|acne_support|hygiene,0.86,safe,moderate
R033,lifestyle,Moderate Sun and Stretch Routine,Take gentle morning stretch sessions with mild sun exposure only.,kapha_balance|psoriasis_support|routine,0.77,caution,moderate
R034,lifestyle,Hydration Reminder Scheduling,Use reminders to maintain regular fluid intake and reduce dryness episodes.,vata_balance|dryness|hydration,0.81,safe,moderate
R035,lifestyle,Post-Workout Shower Discipline,Shower soon after workouts to reduce sweat-related acne and fungal irritation.,pitta_balance|kapha_balance|hygiene,0.89,safe,strong
R036,lifestyle,Stress-Flare Calendar Tracking,Track stress and flare dates weekly for personalized preventive actions.,eczema_support|psoriasis_support|routine,0.76,safe,weak
R037,home_care,Nighttime Occlusive Moisture Seal,Apply occlusive moisturizer at night for persistent dry patches.,vata_balance|dryness|eczema_support,0.9,safe,strong
R038,home_care,Cool Compress for Red Flare,Use cool compresses briefly during redness and burning episodes.,pitta_balance|redness_support|cooling,0.84,safe,moderate
R039,home_care,Antifungal Foot and Fold Drying,Dry skin folds and feet carefully after bathing to reduce fungal growth.,kapha_balance|fungal_support|hygiene,0.92,safe,strong
R040,home_care,Fragrance-Free Cleansing Swap,Switch to fragrance-free cleansers to reduce barrier irritation.,vata_balance|eczema_support|sensitive_skin,0.87,safe,strong
R041,home_care,Clay Spot Mask for Oily Zones,Use mild clay mask only on oily zones to support acne control.,pitta_balance|acne_support|oil_control,0.8,caution,moderate
R042,home_care,Scale Softening Soak Routine,Use brief soak-soften cycles before gentle plaque cleansing.,kapha_balance|psoriasis_support|dry_scaling,0.88,caution,strong
R043,home_care,Barrier Repair Cream Twice Daily,Apply barrier repair cream morning and evening for dry skin recovery.,vata_balance|dryness|barrier_repair,0.93,safe,strong
R044,home_care,Non-Irritant Acne Spot Care,Use non-irritant spot care and avoid aggressive peeling products.,pitta_balance|acne_support|sensitive_skin,0.89,safe,strong
R045,home_care,Weekly Fabric Sanitation Protocol,Sanitize towels and inner garments weekly to lower fungal persistence.,kapha_balance|fungal_support|hygiene,0.86,safe,strong
R046,diet,Sesame and Date Nourish Bowl,Use sesame and date combinations in moderation to nourish dry constitutions.,vata_balance|dryness|nutrition,0.79,safe,moderate
R047,diet,Mint and Fennel Cooling Infusion,Drink mint-fennel infusion to reduce internal heat linked to acne redness.,pitta_balance|acne_support|cooling,0.83,safe,moderate
R048,lifestyle,Humidity and Ventilation Check,Maintain room ventilation and lower humidity to reduce fungal triggers.,kapha_balance|fungal_support|home_environment,0.88,safe,strong
R049,home_care,Short Lukewarm Bath Protocol,Take short lukewarm baths instead of prolonged hot showers to protect the skin barrier.,vata_balance|eczema_support|barrier_repair,0.9,safe,strong
R050,lifestyle,Weekly Skin Photo Tracking,Capture weekly skin photos in consistent lighting to monitor progression.,eczema_support|acne_support|psoriasis_support|tracking,0.8,safe,moderate
R051,diet,Eczema-friendly: Hydration-first plate,"Prioritize water-rich foods and regular fluids; dehydration can worsen skin discomfort. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|hydration|routine,0.84,safe,strong
R052,diet,Eczema-friendly: Balanced low-spike meals,"Choose balanced meals and reduce frequent high-sugar spikes to support overall skin stability. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|balanced_meals|glycemic_support,0.84,safe,strong
R053,diet,Eczema-friendly: Gentle gut-friendly routine,"Keep meal timing consistent and include fiber-rich foods to support digestion-related skin flares. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|routine|digestion_support,0.84,safe,strong
R054,diet,Eczema-friendly: Cooling foods when heat is high,"When redness/heat sensations are present, prefer mild cooling foods and avoid very spicy choices. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|cooling|heat_support,0.84,safe,strong
R055,diet,Eczema-friendly: Reduce ultra-processed triggers,"Limit ultra-processed foods that often correlate with flare cycles; observe your personal triggers. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|tracking,0.84,safe,strong
R056,diet,Eczema-friendly: Healthy fats for barrier support,"Include moderate healthy fats (as tolerated) to support the skin barrier and dryness control. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|nutrition,0.84,safe,strong
R057,diet,Eczema-friendly: Mindful dairy check (individualized),"If you suspect dairy aggravates your skin, trial a short, monitored reduction and track changes. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|trigger_tracking|individualized,0.84,caution,strong
R058,lifestyle,Eczema-friendly: Consistent sleep window,"Aim for a consistent sleep schedule; irregular sleep can worsen itch, stress, and inflammation. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|sleep|routine,0.83,safe,strong
R059,lifestyle,Eczema-friendly: Stress downshift practice,"Use a short daily stress-downshift (breathing, walk, journaling) to reduce flare triggers. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|stress_support|routine,0.83,safe,strong
R060,lifestyle,Eczema-friendly: Sweat management habit,"After heavy sweating, change into dry clothing and cleanse gently to reduce irritation and fungal risk. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|hygiene|moisture_control,0.83,safe,strong
R061,lifestyle,Eczema-friendly: Trigger journal,"Track stress, weather, products, and foods during flares to find repeatable triggers. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|tracking|trigger_tracking,0.83,safe,strong
R062,lifestyle,Eczema-friendly: Sun-smart routine,"Use shade, hats, and consistent sun protection habits to reduce redness and pigmentation worsening. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|sun_protection|routine,0.83,safe,strong
R063,lifestyle,Eczema-friendly: Friction reduction,"Reduce friction from tight clothing and rough fabrics; friction can amplify irritation and redness. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|friction_reduction|gentle_care,0.83,safe,strong
R064,lifestyle,Eczema-friendly: Humidity and ventilation,"Keep living spaces ventilated; humidity control can help reduce fungal and irritation triggers. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|home_environment|moisture_control,0.83,safe,strong
R065,home_care,Eczema-friendly: Gentle cleansing rule,"Cleanse with mild, fragrance-free products; avoid harsh scrubbing that damages the barrier. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|gentle_cleansing,0.9,safe,strong
R066,home_care,Eczema-friendly: Moisturize strategically,"Moisturize soon after bathing to lock in water and support barrier recovery. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|hydration,0.9,safe,strong
R067,home_care,Eczema-friendly: Short lukewarm showers,"Prefer short lukewarm showers over long hot ones to reduce dryness and irritation. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|gentle_care,0.9,safe,strong
R068,home_care,Eczema-friendly: Patch-test new products,"Test new skincare on a small area before full use to reduce contact reactions. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|patch_testing|irritant_avoidance,0.9,caution,strong
R069,home_care,Eczema-friendly: Nail and scratch control,"Keep nails short and use distractions to reduce scratching that worsens barrier injury. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|itching_control,0.9,safe,strong
R070,home_care,Eczema-friendly: Clean textiles routine,"Wash towels and pillowcases regularly; clean textiles can reduce irritation and recurrence cycles. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|hygiene|routine,0.9,safe,strong
R071,home_care,Eczema-friendly: Breathable fabric choice,"Use breathable fabrics and avoid prolonged dampness in folds to reduce fungal recurrence risk. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|breathable_clothing|moisture_control,0.9,safe,strong
R072,home_care,Eczema-friendly: Cool compress (brief),"Use a brief cool compress for heat/itch sensations; avoid prolonged cold exposure. For dryness/itch flares, keep routines simple and barrier-protective.",eczema|dryness|itching|barrier_repair|trigger_avoidance|eczema_support|cooling|comfort_support,0.9,safe,strong
R073,diet,Acne-support: Hydration-first plate,"Prioritize water-rich foods and regular fluids; dehydration can worsen skin discomfort. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|hydration|routine,0.84,safe,strong
R074,diet,Acne-support: Balanced low-spike meals,"Choose balanced meals and reduce frequent high-sugar spikes to support overall skin stability. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|balanced_meals|glycemic_support,0.84,safe,strong
R075,diet,Acne-support: Gentle gut-friendly routine,"Keep meal timing consistent and include fiber-rich foods to support digestion-related skin flares. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|routine|digestion_support,0.84,safe,strong
R076,diet,Acne-support: Cooling foods when heat is high,"When redness/heat sensations are present, prefer mild cooling foods and avoid very spicy choices. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|cooling|heat_support,0.84,safe,strong
R077,diet,Acne-support: Reduce ultra-processed triggers,"Limit ultra-processed foods that often correlate with flare cycles; observe your personal triggers. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|trigger_avoidance|tracking,0.84,safe,strong
R078,diet,Acne-support: Healthy fats for barrier support,"Include moderate healthy fats (as tolerated) to support the skin barrier and dryness control. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|barrier_repair|nutrition,0.84,safe,strong
R079,diet,Acne-support: Mindful dairy check (individualized),"If you suspect dairy aggravates your skin, trial a short, monitored reduction and track changes. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|trigger_tracking|individualized,0.84,caution,strong
R080,lifestyle,Acne-support: Consistent sleep window,"Aim for a consistent sleep schedule; irregular sleep can worsen itch, stress, and inflammation. For acne-prone skin, emphasize gentle cleansing and avoid picking or harsh over-stripping.",acne|oil_control|inflammation|comedones|hygiene|acne_support|sleep|routine,0.83,safe,strong
